lat;lon;area;rent;condofee;IPTU;bedrooms
-19.941451;-43.919837;347;12000;2980;618;4
-19.862145;-43.984919;1000;14980;0;1;5
-19.972758;-43.937005;260;13000;1920;138;4
-19.93076;-43.924957;310;12000;2818;1637;4
-19.939036;-43.931366;260;12000;2700;800;4
-19.929464;-43.944236;305;12000;2558;16000;4
-19.927519;-43.94218;310;3800000;2500;15000;4
-19.929464;-43.944236;306;12000;2500;1333;4
-19.932582;-43.942775;500;12000;2500;0;4
-19.919168;-43.938656;463;12000;2400;0;4
-19.923647;-43.952239;205;11900;2500;650;4
-19.929464;-43.944236;1200;12000;2400;1500;4
-19.930782;-43.954341;208;12000;2300;900;4
-19.934615;-43.954537;340;12000;2260;872;4
-19.93377;-43.945229;520;12000;2224;1;3
-19.96968;-43.940407;335;13750;342;678;4
-19.933463;-43.947032;207;12000;2060;1147;4
-19.940319;-43.952861;471;14000;0;1;5
-19.93198;-43.944896;2000;13500;500;1000;2
-19.929464;-43.944236;208;11000;3000;1500;4
-19.953477;-43.913755;800;14000;0;834;8
-19.957355;-43.928376;150;14000;0;835;5
-19.928578;-43.94557;1;12000;2000;0;4
-19.930223;-43.952011;231;11500;2400;1400;4
-19.976769;-43.942253;1500;11500;2400;1325;4
-19.933641;-43.941442;300;12000;1850;1;4
-19.937931;-43.942473;400;10000;3800;1300;4
-19.934138;-43.928934;380;3000000;2800;1154;4
-19.977073;-43.944291;1700;10000;3800;950;4
-19.977018;-43.94447;274;10000;3800;950;4
-19.937931;-43.942473;400;10000;3800;1300;4
-19.976039;-43.942693;400;9500;4284;1710;4
-19.935045;-43.945588;170;12000;1600;799;4
-19.972758;-43.937005;360;8000;5600;1100;4
-19.929464;-43.944236;305;11000;2557;1447;4
-19.929499;-43.949639;236;11000;2500;1400;4
-19.940272;-43.920069;483;10000;3500;578;4
-19.971986;-43.942483;243;10000;3500;1300;4
-19.929847;-43.942947;305;11000;2500;1448;4
-19.852823;-44.035401;365;13000;490;459;4
-19.977773;-43.944395;2000;12000;1450;1096;4
-19.921381;-43.946123;290;11000;2420;1200;4
-19.929499;-43.949639;1900;11000;2363;1424;4
-19.930223;-43.952011;236;11000;2363;1424;4
-19.976393;-43.943269;205;10500;2800;1500;4
-19.976106;-43.94176;222;10800;2300;1170;4
-19.932321;-43.928961;200;13000;0;236;4
-19.968287;-43.94714;220;10000;3000;1138;4
-19.93995;-43.951034;650;13000;0;1;7
-19.931896;-43.942011;280;11500;1478;600;3
-19.934359;-43.936637;553;10000;2800;1700;4
-19.934359;-43.936637;553;10000;2800;1700;4
-19.973905;-43.937584;243;10000;2800;1;4
-19.933327;-43.941406;250;10000;2745;1;4
-19.933962;-43.924201;204;10000;2701;760;4
-19.929464;-43.944236;305;10000;2650;1450;4
